RPM,Bar,MAP,Temp,TPS,Voltage,MPH,EPCPSI,controlslocked,EPCPWM,Gear,TCC,Fuel,Oil
1066,100.0,24.2,188.7,1.9,12.6,23,54,0,68,3,0,7,52
1066,100.0,24.2,188.7,1.9,12.6,23,54,0,68,3,0,7,52
1066,100.0,24.2,188.7,1.9,12.6,23,54,0,68,3,0,7,52
1070,100.0,24.6,189.3,1.9,12.8,23,54,0,68,3,0,7,52
1070,100.0,24.6,189.3,1.9,12.8,23,50,0,67,3,0,7,55
1070,100.0,24.6,189.3,1.9,12.8,23,50,0,67,3,0,7,55
1070,100.0,24.6,189.3,1.9,12.8,23,50,0,67,3,0,7,55
1076,100.0,24.3,188.8,1.9,12.8,23,50,0,67,3,0,7,55
1076,100.0,24.3,188.8,1.9,12.8,23,48,0,66,3,0,7,56
1076,100.0,24.3,188.8,1.9,12.8,23,48,0,66,3,0,7,56
1076,100.0,24.3,188.8,1.9,12.8,23,48,0,66,3,0,7,56
1063,100.0,24.6,188.5,1.9,12.6,23,48,0,66,3,0,7,56
1063,100.0,24.6,188.5,1.9,12.6,23,51,0,68,3,0,7,54
1063,100.0,24.6,188.5,1.9,12.6,23,51,0,68,3,0,7,54
1063,100.0,24.6,188.5,1.9,12.6,23,51,0,68,3,0,7,54
1043,100.0,24.9,188.6,1.9,12.9,23,51,0,68,3,0,7,54
1043,100.0,24.9,188.6,1.9,12.9,23,46,0,67,3,0,7,53
1043,100.0,24.9,188.6,1.9,12.9,23,46,0,67,3,0,7,53
1043,100.0,24.9,188.6,1.9,12.9,23,46,0,67,3,0,7,53
1053,100.0,24.8,188.6,1.9,12.8,23,46,0,67,3,0,7,53
1053,100.0,24.8,188.6,1.9,12.8,22,48,0,68,3,0,7,51
1053,100.0,24.8,188.6,1.9,12.8,22,48,0,68,3,0,7,51
1053,100.0,24.8,188.6,1.9,12.8,22,48,0,68,3,0,7,51
1042,100.0,24.8,188.7,1.9,12.8,22,48,0,68,3,0,7,51
1042,100.0,24.8,188.7,1.9,12.8,22,48,0,68,3,0,7,52
1042,100.0,24.8,188.7,1.9,12.8,22,48,0,68,3,0,7,52
1042,100.0,24.8,188.7,1.9,12.8,22,48,0,68,3,0,7,52
1038,100.0,24.9,188.6,1.9,12.8,22,48,0,68,3,0,7,52
1038,100.0,24.9,188.6,1.9,12.8,22,54,0,71,3,0,8,53
1038,100.0,24.9,188.6,1.9,12.8,22,54,0,71,3,0,8,53
1038,100.0,24.9,188.6,1.9,12.8,22,54,0,71,3,0,8,53
1037,100.0,25.0,188.8,1.9,12.8,22,54,0,71,3,0,8,53
1037,100.0,25.0,188.8,1.9,12.8,22,45,0,65,3,0,7,53
1037,100.0,25.0,188.8,1.9,12.8,22,45,0,65,3,0,7,53
1037,100.0,25.0,188.8,1.9,12.8,22,45,0,65,3,0,7,53
1033,100.0,25.2,188.8,1.9,12.8,22,45,0,65,3,0,7,53
1033,100.0,25.2,188.8,1.9,12.8,22,44,0,64,3,0,7,53
1033,100.0,25.2,188.8,1.9,12.8,22,44,0,64,3,0,7,53
1026,100.0,25.2,188.8,1.9,12.8,22,44,0,64,3,0,7,53
1026,100.0,25.2,188.9,1.9,12.7,22,44,0,64,3,0,7,53
